name,parent
Colombia,null
Antioquia,Colombia
Bogotá,Colombia
Caldas,Colombia
Cauca,Colombia
Huila,Colombia
Quindío,Colombia
Risaralda,Colombia
Santander,Colombia
Tolima,Colombia
Valle del Cauca,Colombia
Café sin tostar- descafeinado,Antioquia
Café sin tostar- sin descafeinar- para la siembra,Antioquia
Café soluble liofilizado- con granulometría de 20 - 300 mm,Antioquia
Café tostado- descafeinado,Antioquia
Café tostado- sin descafeinar- en grano,Antioquia
Café tostado- sin descafeinar- molido,Antioquia
Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción,Antioquia
Extractos- esencias y concentrados de café,Antioquia
Los demás cafés sin tostar- sin descafeinar,Antioquia
Los demás extractos- esencias y concentrados de café,Antioquia
Preparaciones a base de extractos- esencias o concentrados o a base de café,Antioquia
 Achicoria tostada y demás sucedáneos del café tostados y sus extractos- esencias y concentrados,Bogotá
Café sin tostar- descafeinado,Bogotá
Café sin tostar- sin descafeinar- para la siembra,Bogotá
Café soluble liofilizado- con granulometría de 20 - 300 mm,Bogotá
Café tostado- descafeinado,Bogotá
Café tostado- sin descafeinar- en grano,Bogotá
Café tostado- sin descafeinar- molido,Bogotá
Cáscara y cascarilla de café-sucedáneos del café que contengan café en cualquier proporción,Bogotá
Extractos- esencias y concentrados de café,Bogotá
Los demás cafés sin tostar- sin descafeinar,Bogotá
Los demás extractos- esencias y concentrados de café,Bogotá
Preparaciones a base de extractos- esencias o concentrados o a base de café,Bogotá
Café sin tostar- descafeinado,Caldas
Café sin tostar- sin descafeinar- para la siembra,Caldas
Café soluble liofilizado- con granulometría de 20 - 300 mm,Caldas
Café tostado- descafeinado,Caldas
Café tostado- sin descafeinar- en grano,Caldas
Café tostado- sin descafeinar- molido,Caldas
Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción,Caldas
Extractos- esencias y concentrados de café,Caldas
Los demás cafés sin tostar- sin descafeinar,Caldas
Los demás extractos- esencias y concentrados de café,Caldas
Preparaciones a base de extractos- esencias o concentrados o a base de café,Caldas
Café sin tostar- descafeinado,Cauca
Café sin tostar- sin descafeinar- para la siembra,Cauca
Café soluble liofilizado- con granulometría de 20 - 300 mm,Cauca
Café tostado- sin descafeinar- en grano,Cauca
Café tostado- sin descafeinar- molido,Cauca
Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción,Cauca
Los demás cafés sin tostar- sin descafeinar,Cauca
Los demás extractos- esencias y concentrados de café,Cauca
Preparaciones a base de extractos- esencias o concentrados o a base de café,Cauca
Café sin tostar- descafeinado,Huila
Café sin tostar- sin descafeinar- para la siembra,Huila
Café soluble liofilizado- con granulometría de 20 - 300 mm,Huila
Café tostado- sin descafeinar- en grano,Huila
Café tostado- sin descafeinar- molido,Huila
Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción,Huila
Los demás cafés sin tostar- sin descafeinar,Huila
Los demás extractos- esencias y concentrados de café,Huila
Café sin tostar- descafeinado,Quindío
Café sin tostar- sin descafeinar- para la siembra,Quindío
Café soluble liofilizado- con granulometría de 20 - 300 mm,Quindío
Café tostado- descafeinado,Quindío
Café tostado- sin descafeinar- en grano,Quindío
Café tostado- sin descafeinar- molido,Quindío
Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción,Quindío
Los demás cafés sin tostar- sin descafeinar,Quindío
Los demás extractos- esencias y concentrados de café,Quindío
Preparaciones a base de extractos- esencias o concentrados o a base de café,Quindío
Café sin tostar- descafeinado,Risaralda
Café sin tostar- sin descafeinar- para la siembra,Risaralda
Café tostado- sin descafeinar- en grano,Risaralda
Café tostado- sin descafeinar- molido,Risaralda
Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción,Risaralda
Extractos- esencias y concentrados de café,Risaralda
Los demás cafés sin tostar- sin descafeinar,Risaralda
Los demás extractos- esencias y concentrados de café,Risaralda
Preparaciones a base de extractos- esencias o concentrados o a base de café,Risaralda
Café sin tostar- descafeinado,Santander
Café tostado- descafeinado,Santander
Café tostado- sin descafeinar- en grano,Santander
Café tostado- sin descafeinar- molido,Santander
Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción,Santander
Los demás cafés sin tostar- sin descafeinar,Santander
Los demás extractos- esencias y concentrados de café,Santander
Preparaciones a base de extractos- esencias o concentrados o a base de café,Santander
Achicoria tostada y demás sucedáneos del café tostados y sus extractos- esencias y concentrados,Tolima
Café sin tostar- descafeinado,Tolima
Café sin tostar- sin descafeinar- para la siembra,Tolima
Café soluble liofilizado- con granulometría de 20 - 300 mm,Tolima
Café tostado- descafeinado,Tolima
Café tostado- sin descafeinar- en grano,Tolima
Café tostado- sin descafeinar- molido,Tolima
Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción,Tolima
Extractos- esencias y concentrados de café,Tolima
Los demás cafés sin tostar- sin descafeinar,Tolima
Los demás extractos- esencias y concentrados de café,Tolima
Preparaciones a base de extractos- esencias o concentrados o a base de café,Tolima
Café sin tostar- descafeinado,Valle del Cauca
